wreck_num,wreck_name,wdpa_gid,wdpa_name
729.0,Cape Strait,164292,Mid-Atlantic Coastal Waters Area
730.0,Rothenbach Reef I,164168,Waters off New Jersey
730.0,Rothenbach Reef I,164297,Southern Nearshore
730.0,Rothenbach Reef I,164292,Mid-Atlantic Coastal Waters Area
731.0,George B. Shuda Reef,164168,Waters off New Jersey
731.0,George B. Shuda Reef,164297,Southern Nearshore
731.0,George B. Shuda Reef,164292,Mid-Atlantic Coastal Waters Area
732.0,Roy C. Titus Memorial Reef 2,164168,Waters off New Jersey
732.0,Roy C. Titus Memorial Reef 2,164297,Southern Nearshore
732.0,Roy C. Titus Memorial Reef 2,164292,Mid-Atlantic Coastal Waters Area
733.0,Red Oak,164168,Waters off New Jersey
733.0,Red Oak,164297,Southern Nearshore
733.0,Red Oak,164292,Mid-Atlantic Coastal Waters Area
734.0,Point Swift,164168,Waters off New Jersey
734.0,Point Swift,164297,Southern Nearshore
734.0,Point Swift,164292,Mid-Atlantic Coastal Waters Area
735.0,Dr. Tom's Reef,164168,Waters off New Jersey
735.0,Dr. Tom's Reef,164297,Southern Nearshore
735.0,Dr. Tom's Reef,164292,Mid-Atlantic Coastal Waters Area
736.0,Redbird Reef I,164168,Waters off New Jersey
736.0,Redbird Reef I,164297,Southern Nearshore
736.0,Redbird Reef I,164292,Mid-Atlantic Coastal Waters Area
737.0,Redbird Reef II,164168,Waters off New Jersey
737.0,Redbird Reef II,164297,Southern Nearshore
737.0,Redbird Reef II,164292,Mid-Atlantic Coastal Waters Area
738.0,Redbird Reef III,164168,Waters off New Jersey
738.0,Redbird Reef III,164297,Southern Nearshore
738.0,Redbird Reef III,164292,Mid-Atlantic Coastal Waters Area
739.0,Redbird Reef IV,164168,Waters off New Jersey
739.0,Redbird Reef IV,164297,Southern Nearshore
739.0,Redbird Reef IV,164292,Mid-Atlantic Coastal Waters Area
740.0,Redbird Reef V,164168,Waters off New Jersey
740.0,Redbird Reef V,164297,Southern Nearshore
